NEGATIVE	Robbie E Responds To Critics After Win Against Eddie Edwards In The #WorldTitleSeries https://t.co/NSybBmVjKZ
NEGATIVE	It felt like they were my friends and I was living the story with them۝ https://t.co/arngE0YHNO #retired #IAN1 https://t.co/CIzCANPQFz
NEGATIVE	i absolutely adore when louis starts the songs it hits me hard but it feels good
NEGATIVE	Hi @JordanSpieth - Looking at the url - do you use @IFTTT?!  Don't typically see an advanced user on the @PGATOUR! https://t.co/H68ou5PE9L
POSITIVE	Watching Neighbours on Sky+ catching up with the Neighbs!! Xxx _____ُ_ԍ_ُ Xxx
POSITIVE	Ive seen people on the train with lamps, chairs, tvs etc  https://t.co/w6zf4pVM4I
NEGATIVE	Gala Bingo clubs bought for 241m: The UK's largest High Street bingo operator, Gala, is being taken over by_ https://t.co/HzeeykJUd3
POSITIVE	@_Aphmau_ the pic defines all mcd fangirls/fanboys and mcd shippers xD
POSITIVE	@Evielady just how lovely is the tree this year! Never seen it as gorgeous as this #Autumn #colour
POSITIVE	Just put my ass on the line for you and this is how you repay me.
POSITIVE	will i even need sound effects for the diviners tonight
POSITIVE	https://t.co/EROGWTFTYo It's a glow of satisfaction re The Glow https://t.co/7RdyMCVPKx
POSITIVE	@giannaaa28 lmao __ dude I'm hella scared for next episode bc the ending to yesterday's
NEGATIVE	@coolyazzy94 Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P
NEGATIVE	@CaribBros @JstSaleem I do but I don't understand how to get to the server to get it
POSITIVE	@CraftYear2015 @isabelpascual thank you for the retweets
POSITIVE	All the girls went to sleep and the guys just sat in the floor and watched us__
POSITIVE	@ChrisAOfficial I'm on the right side__ُ_xxx
NEGATIVE	YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON, A TEAR ROLLED DOWN HIS FACE https://t.co/aYuQDPtvsE
NEGATIVE	James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE
POSITIVE	@SydnieJR except once the Hallmark movies start I won't get anything done!! ______
POSITIVE	You leave the group chat for more than 2 mins and you miss made shit
NEGATIVE	As opposed to Pump where it's like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE
NEGATIVE	All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E
POSITIVE	Me the week of Brandon's birthday: there's no such thing as a birthday week u weirdoMe November 1st: it's my birthday month, bow down to me
NEGATIVE	And got more yards AND points than the Jets gave up all season. https://t.co/gdfkaOxcDD
NEGATIVE	Did Alot Up In The Past Ion Wont Back
POSITIVE	This boy was on the El wit his 3 daughters and they all was under 5
NEGATIVE	@TheRiddler109 @CNN I mean it's not like Mainstream new media is supposed to feed you the fact nowadays...
NEGATIVE	How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H
NEGATIVE	@onedirection Artist of the Year #AMAsHO FAME
NEGATIVE	@kbonimtetezi mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!
NEGATIVE	Greenville Thursday. Yall holla you need anything. Know I'm the plug
POSITIVE	@MarkHicks1204 I went to the wrong Nandos but I found you eventually #10chilliesequalsfreenandos
NEGATIVE	@AndyRobsonTips Cardiff or drew with the over 1.5 match goals sounds good to me
POSITIVE	Those who break the rules are scum, but those who abandon their friends are worse than scum
NEGATIVE	Gala Bingo clubs bought for 241m: The UK's largest High Street bingo operator, Gala, is being taken over by_ https://t.co/XprInke1m2
POSITIVE	VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latest_ https://t.co/uV38Wlg5bE #UK
NEGATIVE	Best thing about having an audition on the west side is being able to eat lunch at Komodo
NEGATIVE	Discipline is the bridge between goals and accomplishment. - Jim Rohn
NEGATIVE	In the last 20 minutes that Wednesday fan has tweeted about us 3 times, no, not obsessed, not even a little bit _______________
POSITIVE	Once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. (1-2)
NEGATIVE	Triggered Email: The Killer Conversion App https://t.co/obCkhxkOm7
POSITIVE	camerons side of the bed smells SO bad
POSITIVE	@wishbonecon are u going to the 1.30 one ??
NEGATIVE	@Hakeem_NLT Boii make the wafflw link to the reference then the word count should clear up lol
POSITIVE	https://t.co/nRN2mGLd2EAm I the only one who loves the part with Merlin and Regina's face? :D #OUAT
NEGATIVE	@Harry_Styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time YOU
NEGATIVE	The POLITICS of evidence + results in international development. https://t.co/T7N2c2TTBf - Looks great. h/t @duncan_ids @rosalindeyben +
POSITIVE	Please God, let me get a house that has a fireplace in the bedroom!! I have such great ideas for such a room..
POSITIVE	that's the 8% they have hidden.. UMPH. https://t.co/OnebBSAG93
POSITIVE	@WigingtonLinda that's nice for this time of the year. tomorrow they say it should be around 20
NEGATIVE	(Surgical enhancements are for a different part of the body, and, I was kidding...)
NEGATIVE	I swear if she touches me one more time. ____ she pisses me off. It's stupid cause my friends fall for the trick as well _
NEGATIVE	She is not beautiful m, and I'm talking beyond the superficial beauty.
POSITIVE	bad day in the office - but nice to catch up with @thedjbrisk so wish we had more time to catch up x
POSITIVE	James Walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.
NEGATIVE	@Lov3rzWorldwide Say He is the one. The eternal. He doesn't have kids nor did anyone have Him. There is nothing like The One.
NEGATIVE	Now I Changed! I'm not the same Man I once Yesterday it's for the better watch &amp; take notes
POSITIVE	Amazing: See Igbo Village In The United States OfAmerica https://t.co/Z8A95hAQpE https://t.co/qdQ6HnE735
POSITIVE	@R_M_Appleyard alarm wont work as you can't time the stops in Leeds. Too much traffic ect. A 20min bus ride can take 50 or 12 mins, ya know?
POSITIVE	#Akinator, the Genie App, just guessed that I was thinking of  Katniss Everdeen's Daughter #what? how?
NEGATIVE	@TekifyUK I am trying to unbrick my Kindle fire, with a red screen. I followed your youtube video, and am using the unbrick tool.
NEGATIVE	If you say someone like Wale or Meek or Wiz has gotten big in the past five years you're a moron. They were big in the mixtape game.
POSITIVE	Move Of The Week Double Leg Stretch _ : https://t.co/kxkCEFUxQB ... https://t.co/n7PtOHGaPQ
POSITIVE	@RepComstock You are supporting the Father of the Sequester for Speaker. Cut vet pensions, military, medicare. Shame on you
NEGATIVE	Reimagining the #webdesign process by @InVisionApp - https://t.co/Vmb0OZU67e https://t.co/hFlWR8tfOl
NEGATIVE	@deptulahasrage Clemson only need to stack the line against FSU then they may not even score
POSITIVE	I can see now that there's no way I'm going to resist this Shattered Empire business. The Noto cover alone! https://t.co/nLmIC5xDmp
NEGATIVE	@cringe_channel chris chan has the fame
POSITIVE	The accuracy though lol  https://t.co/frFforEeLC
NEGATIVE	Im weakkkkk_____Tbh thats the only way to shut down girls who flex
POSITIVE	Thanks to the #ACA more adults are eligible for #Medicaid in #Illinois &amp; able to apply online.  @YoungInvinciblehttps://t.co/cfwlLqv4K9
POSITIVE	IBMSocialBiz: In the future, there will be a narrowing of the gap of people's abilities to use tools proficiently. JenniferMcClure #H2HChat_
NEGATIVE	Chris Got On The Black Toe 1s __
